pos,neu,neg
2.00E-05,5.00E-05,2.70E-04
0,5.00E-05,4.00E-05
7.00E-05,0.00018,0.00011
0.00055,0.00035,0.00021
0.0005,0.00022,0.00028
0.00042,0,8.00E-05
9.00E-05,3.00E-05,1.10E-04
4.00E-05,5.00E-05,1.50E-04
1.00E-04,0.00018,0.00017
0.00027,1.00E-04,5.00E-05
0.00021,0.00041,0
0.00014,3.00E-05,8.00E-05
0.00017,7.00E-05,1.40E-04
0.0001,0,0.00012
8.00E-05,0.00011,0.00012
6.00E-05,9.00E-05,3.40E-04
1.00E-04,0.00027,0.00018
0.00015,5.00E-05,2.60E-04
0.00014,0.00032,0.00036
5.00E-05,0.00015,0.00012
0.00012,0.00047,0.00033
5.00E-05,9.00E-05,5.00E-05
8.00E-05,0.00069,7.00E-05
0.00017,0.00019,0.00015
1.00E-04,0.00052,0.00021
2.00E-05,0.00054,0.00053
7.00E-05,0.00032,0.00029
6.00E-05,0.00021,0.00059
0.00032,0.00016,0
0.00026,7.00E-05,None
0.0002,0.00017,None
0.00017,0.00031,None
9.00E-05,0.00011,None
0.00011,None,None
6.00E-05,None,None
9.00E-05,None,None
1.00E-05,None,None
3.00E-05,None,None
1.00E-04,None,None
7.00E-05,None,None
0.00025,None,None
7.00E-05,None,None
8.00E-05,None,None
7.00E-05,None,None
1.00E-04,None,None
0.00013,None,None
1.00E-04,None,None
0.00012,None,None
5.00E-05,None,None
6.00E-05,None,None
0.00015,None,None
0.00013,None,None
0.00017,None,None
5.00E-05,None,None
8.00E-05,None,None
6.00E-05,None,None
9.00E-05,None,None
3.00E-05,None,None
7.00E-05,None,None
3.00E-05,None,None
0.00043,None,None
0.00031,None,None
0.00022,7.00E-05,None
0.00019,0.00019,None
9.00E-05,0.00014,None
0.00023,0.00017,None
0.00014,0.00041,None
0.00067,0.00011,None
0.00075,3.00E-05,None
0.00075,5.00E-05,None
0.00069,0.00034,None
0.00012,8.00E-05,None
0.00015,1.00E-05,None
5.00E-05,7.00E-05,None
0.00013,0.00013,1.00E-04
1.00E-05,7.00E-05,1.60E-04
6.00E-05,4.00E-05,8.00E-05
0.00013,0.0003,0.00011
