Pri_Sub_Pos,Pri_Sub_Neu,Pri_Sub_Neg,Pri_Sub_Urg_Pos,Pri_Sub_Urg_Neu,Pri_Sub_Urg_Neg
None,None,None,None,None,None
None,None,None,None,None,None
0.00018,0.00011,0.00045,0.00055,3.00E-05,0.00016
0.00013,0.00037,0.00027,7.00E-05,7.00E-05,6.00E-05
7.00E-05,0.00011,1.00E-04,5.00E-05,0.00028,0.00012
0.00036,0.0004,0.00013,0.00016,0.00018,0.00055
0.00075,0.0005,0.00033,9.00E-05,0.00016,0.00018
0.0004,0.00024,1.00E-04,0.00025,0.00017,5.00E-05
0.00012,0.00041,0.00024,0.00021,0.00018,4.00E-05
0.00046,0.00041,0.00011,7.00E-05,7.00E-05,0.0002
0.00025,0.00012,8.00E-05,4.00E-05,7.00E-05,0.0002
0.00029,2.00E-05,0.00044,6.00E-05,7.00E-05,0.00017
0.00053,0.00019,6.00E-05,0.0002,8.00E-05,0.00115
0.00042,0.00023,0.00095,0.0004,0.00045,0.00029
0.0002,0.00046,0.00071,0.00029,0.00018,0.00033
8.00E-05,0.00031,0.00032,0.00033,0.00066,0.00017
0.00015,0.00022,0.00042,5.00E-05,0.00038,0.00054
4.00E-05,0.00024,0.00145,0.00026,0.00042,0.00086
0.00074,4.00E-05,0.00022,0.00013,0.00045,4.00E-05
0.00058,1.00E-04,0,0.00032,0.0002,0.00072
0.00078,4.00E-05,0.00087,0.00024,0.00037,0.00017
0.00039,0.00011,4.00E-05,5.00E-05,0.00024,0.00064
0.00039,5.00E-05,0.00016,8.00E-05,0.00012,0.00064
0.00052,5.00E-05,1.00E-05,0.00046,0.0007,0.00223
4.00E-05,0.00015,9.00E-05,0.00043,0.00035,0.00076
0.00015,0.00049,0.00021,0.00013,0.00045,None
0.00026,9.00E-05,0.00032,5.00E-05,0.00033,None
0.00039,0,0.00026,0.00017,5.00E-05,None
0.00029,0.00024,0.00055,0.00029,0.00076,None
0.00026,0.00012,0.00049,0.00047,0.00035,None
0.00043,0.00029,0.00034,0.00019,0.00044,None
0.00019,0.00039,0.00119,1.00E-05,0.00013,None
0.00017,6.00E-05,0.00045,0.0002,5.00E-05,None
0.00012,2.00E-05,0.00059,0.00021,5.00E-05,None
0.00026,0.00024,0.00017,0.00015,0.00025,None
0.00023,0.00023,0.00021,0.00016,1.00E-04,None
4.00E-05,0.00056,0.00024,5.00E-05,6.00E-05,None
7.00E-05,6.00E-05,1.00E-04,0.00022,0.00089,None
0,0.00029,7.00E-05,0.00031,0.00101,None
1.00E-05,0.00014,6.00E-05,0.00046,0.00014,None
0.00011,0.00039,0.00027,0.00037,0.00021,None
0.00014,0.00039,0.00012,0.00052,0.00031,9.00E-05
0.00017,0.00046,0.00012,7.00E-05,0.00029,0.00021
0.00016,0.00037,0.00057,0.0002,0.00016,6.00E-05
0.00017,0.00025,0.00039,0.00059,0.00058,4.00E-05
0.00014,0.00025,0.00019,0.00089,0.00041,0.00039
7.00E-05,0.00022,0.00015,0.00015,0.00027,0.00011
0.00028,0.00017,0.00018,0.00023,0.00067,0.00043
0.00011,0.00092,3.00E-05,0.00023,0.00092,0.00042
