SYMBOL,DATE_TIME,OPEN,HIGH,LOW,LAST,NUM_TRADES,BID,ASK,QUOTE_DATE,QUOTIM,QUOTEID
USD/JPY,"2018-11-21 16:46:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:46:00,6746353
USD/JPY,"2018-11-21 16:47:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:47:00,6746359
USD/JPY,"2018-11-21 16:48:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:48:00,6746367
USD/JPY,"2018-11-21 16:49:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:49:05,6746373
USD/JPY,"2018-11-21 16:50:10",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:50:10,6746380
USD/JPY,"2018-11-21 16:51:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:51:07,6746388
USD/JPY,"2018-11-21 16:52:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:52:06,6746395
USD/JPY,"2018-11-21 16:53:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:53:00,6746401
USD/JPY,"2018-11-21 16:54:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:54:05,6746408
USD/JPY,"2018-11-21 16:55:24",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:55:24,6746415
USD/JPY,"2018-11-21 16:56:09",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:56:09,6746421
USD/JPY,"2018-11-21 16:57:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:57:00,6746428
USD/JPY,"2018-11-21 16:58:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:58:06,6746435
USD/JPY,"2018-11-21 16:59:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:59:00,6746442
USD/JPY,"2018-11-21 17:00:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:00:00,6746449
USD/JPY,"2018-11-21 17:02:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:02:08,6746456
USD/JPY,"2018-11-21 17:03:03",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:03:03,6746463
USD/JPY,"2018-11-21 17:04:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:04:00,6746470
USD/JPY,"2018-11-21 17:05:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:05:00,6746477
USD/JPY,"2018-11-21 17:06:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:06:06,6746484
USD/JPY,"2018-11-21 17:07:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:07:08,6746491
USD/JPY,"2018-11-21 17:08:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:08:00,6746498
USD/JPY,"2018-11-21 17:09:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:09:00,6746505
USD/JPY,"2018-11-21 17:10:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:10:05,6746512
USD/JPY,"2018-11-21 17:11:04",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:11:04,6746519
USD/JPY,"2018-11-21 17:12:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:12:00,6746526
USD/JPY,"2018-11-21 17:13:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:13:00,6746533
USD/JPY,"2018-11-21 17:14:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:14:00,6746540
USD/JPY,"2018-11-21 17:16:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:16:08,6746547
USD/JPY,"2018-11-21 17:17:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:17:00,6746555
USD/JPY,"2018-11-21 17:18:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:18:00,6746561
USD/JPY,"2018-11-21 17:19:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:19:00,6746567
USD/JPY,"2018-11-21 17:22:04",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:22:04,6746574
USD/JPY,"2018-11-21 17:23:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:23:00,6746580
USD/JPY,"2018-11-21 17:24:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:24:00,6746586
